批次,批次名称,邀请码,邀请码链接,是否使用,使用人id,使用人昵称,使用时间,邀请码标题,使用须知,申请人,申请原因,生效时间,失效时间,生成时间
648779,"Jon Allen讲创伤与依恋创伤","		4921090577553370",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/4921090577553370,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		0406583813803597",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/0406583813803597,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		4284189865499199",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/4284189865499199,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		6061990038163138",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/6061990038163138,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		3234123787778774",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/3234123787778774,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		7356267648280663",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/7356267648280663,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		9970218085862510",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/9970218085862510,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		9771358841647377",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/9771358841647377,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		3575666424150369",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/3575666424150369,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		0313892209682455",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/0313892209682455,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		9315080232735335",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/9315080232735335,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		7596418505439999",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/7596418505439999,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		3053855283537994",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/3053855283537994,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		4809094158548431",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/4809094158548431,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		4853405341610555",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/4853405341610555,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		4645687172666980",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/4645687172666980,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		8343396713929574",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/8343396713929574,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		2198069895455264",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/2198069895455264,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		5089057286472124",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/5089057286472124,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		3123822786239985",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/3123822786239985,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		9750222196928161",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/9750222196928161,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		2841068831230180",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/2841068831230180,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		8311642601892405",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/8311642601892405,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
